intercept_b,intercept_p,tau2_hat,tau2_p,sample_size,k,true_tau2,mu,reliability_mean,reliability_sd,effect_type,method,step_length,maxiterations,non_converged
-0.000170436898561007,0.648396619215598,2.42094271467856e-06,0.972488171399294,150,20,0,0,0.6,0.15,r,HV,0.5,100,0
0.000201301949380341,0.520690798215384,0.000991803654945279,0.5268025186974,150,20,0.01,0,0.6,0.15,r,HV,0.5,100,0
1.50153231017291e-05,0.490708381509003,0.00515411815193189,0.141731309735094,150,20,0.0225,0,0.6,0.15,r,HV,0.5,100,0
0.00010610250586224,0.491800620212672,0.0119156828424823,0.0225837023630544,150,20,0.04,0,0.6,0.15,r,HV,0.5,100,0
0.0607443564346285,0.00486992108983908,5.24616613894334e-06,0.960897041922174,150,20,0,0.1,0.6,0.15,r,HV,0.5,100,0
0.0616391025818827,0.0209865128802634,0.00110142716807995,0.505717912840377,150,20,0.01,0.1,0.6,0.15,r,HV,0.5,100,0
0.0617106496081518,0.0699871272402666,0.00535975258632793,0.134653386642505,150,20,0.0225,0.1,0.6,0.15,r,HV,0.5,100,0
0.0617791735637514,0.136554879967653,0.012213155158786,0.0204787289327721,150,20,0.04,0.1,0.6,0.15,r,HV,0.5,100,0
0.12119584073557,3.25214389327404e-08,2.99172627401173e-05,0.913668375502922,150,20,0,0.2,0.6,0.15,r,HV,0.5,100,0
0.122665354106111,8.93992613469459e-06,0.00163195335903453,0.41062504577653,150,20,0.01,0.2,0.6,0.15,r,HV,0.5,100,0
0.122691170946804,0.000478817522747859,0.00605117282383189,0.102798998699911,150,20,0.0225,0.2,0.6,0.15,r,HV,0.5,100,0
0.122321827909183,0.00490664189433271,0.0130000197558348,0.0152882298507558,150,20,0.04,0.2,0.6,0.15,r,HV,0.5,100,0
0.182529882009645,2.85063685796795e-15,0.000176937225220035,0.78870688117536,150,20,0,0.3,0.6,0.15,r,HV,0.5,100,0
0.18386329162968,6.38764200442205e-10,0.00259457412500044,0.28835889302863,150,20,0.01,0.3,0.6,0.15,r,HV,0.5,100,0
0.183767802740386,5.79570929081466e-07,0.00726744218279821,0.0674954869296839,150,20,0.0225,0.3,0.6,0.15,r,HV,0.5,100,0
0.183893562874129,3.97419170725584e-05,0.0141079687254083,0.0108968712510885,150,20,0.04,0.3,0.6,0.15,r,HV,0.5,100,0
0.24408140495251,1.73651830335681e-20,0.00077439035266772,0.553774805806376,150,20,0,0.4,0.6,0.15,r,HV,0.5,100,0
0.244863914713127,2.1420039354347e-13,0.0040949843882503,0.160664696298092,150,20,0.01,0.4,0.6,0.15,r,HV,0.5,100,0
0.245358525423985,3.08108174251008e-10,0.00900835997951281,0.0339835005550464,150,20,0.0225,0.4,0.6,0.15,r,HV,0.5,100,0
0.24402869916938,1.75564136350722e-07,0.0155958380864645,0.0057057018424871,150,20,0.04,0.4,0.6,0.15,r,HV,0.5,100,0
0.305516746430579,5.45702059686674e-23,0.00218141110326502,0.282049759020675,150,20,0,0.5,0.6,0.15,r,HV,0.5,100,0
0.306046127782588,1.5731006936937e-16,0.00607918418196592,0.071205696813403,150,20,0.01,0.5,0.6,0.15,r,HV,0.5,100,0
0.305428548502389,1.57484858718517e-13,0.011006080882799,0.015266084793584,150,20,0.0225,0.5,0.6,0.15,r,HV,0.5,100,0
0.304167132304015,9.6309554215965e-10,0.0172042360640223,0.00240157621376497,150,20,0.04,0.5,0.6,0.15,r,HV,0.5,100,0
0.366752692624433,1.41326269428452e-26,0.00449539051233246,0.0910163927823039,150,20,0,0.6,0.6,0.15,r,HV,0.5,100,0
0.366860350844026,2.17350893885294e-20,0.00859189723376631,0.0218167866929743,150,20,0.01,0.6,0.6,0.15,r,HV,0.5,100,0
0.365930610762827,4.87967848428595e-17,0.0134351533487907,0.00555403465716013,150,20,0.0225,0.6,0.6,0.15,r,HV,0.5,100,0
0.360605097161008,4.36754862202495e-13,0.018364498333532,0.00124000464105595,150,20,0.04,0.6,0.6,0.15,r,HV,0.5,100,0
-6.12946331471718e-06,0.604474489055838,2.00729321811998e-05,0.915273800477074,150,20,0,0,0.7,0.15,r,HV,0.5,100,0
-0.000232533565633704,0.499242412661616,0.00240023861150953,0.311685562295074,150,20,0.01,0,0.7,0.15,r,HV,0.5,100,0
-0.000338834840064814,0.489520868716967,0.00862563750005903,0.0497938187650793,150,20,0.0225,0,0.7,0.15,r,HV,0.5,100,0
9.41537531211355e-05,0.491174113384137,0.0176110115994597,0.00569830967259292,150,20,0.04,0,0.7,0.15,r,HV,0.5,100,0
0.070285264525672,0.00181633505756338,3.2109496974222e-05,0.900031941640731,150,20,0,0.1,0.7,0.15,r,HV,0.5,100,0
0.0708786679416158,0.017974119530066,0.00261862546343676,0.288050807904292,150,20,0.01,0.1,0.7,0.15,r,HV,0.5,100,0
0.0706912993044053,0.067974694123597,0.00885526376524898,0.045720363637568,150,20,0.0225,0.1,0.7,0.15,r,HV,0.5,100,0
0.0712972371796118,0.1367187148707,0.0179462023755698,0.00442074664417034,150,20,0.04,0.1,0.7,0.15,r,HV,0.5,100,0
0.140786907855646,2.10162848500765e-10,9.00826318301314e-05,0.836363635784551,150,20,0,0.2,0.7,0.15,r,HV,0.5,100,0
0.141773476792141,6.96437924086633e-06,0.00317747787620083,0.237747190213778,150,20,0.01,0.2,0.7,0.15,r,HV,0.5,100,0
0.141367143973699,0.000488535268193614,0.00962147185045987,0.0331371935083703,150,20,0.0225,0.2,0.7,0.15,r,HV,0.5,100,0
